"Name","Code","country_region_code","country_region","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","Type"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"15/02/2020",-13,-10,-48,-10,1,3,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"16/02/2020",-2,-3,-26,2,-3,NA,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"17/02/2020",22,2,32,7,-9,1,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"18/02/2020",26,1,38,12,-9,1,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"19/02/2020",22,0,32,6,-11,2,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"20/02/2020",16,2,17,4,-10,2,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"21/02/2020",15,-1,37,8,-14,2,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"22/02/2020",11,-1,-4,16,3,-1,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"23/02/2020",6,1,-2,15,2,NA,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"24/02/2020",-4,0,-14,2,3,1,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"25/02/2020",1,2,-1,10,7,0,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"26/02/2020",7,0,14,5,4,0,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"27/02/2020",2,3,10,6,6,0,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"28/02/2020",-3,0,-23,11,4,1,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"29/02/2020",2,3,-31,7,5,0,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"01/03/2020",19,6,30,31,5,-1,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"02/03/2020",6,3,12,6,5,0,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"03/03/2020",12,3,14,8,6,-1,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"04/03/2020",0,0,-11,1,4,1,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"05/03/2020",-2,7,-8,3,5,1,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"06/03/2020",3,5,28,8,6,0,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"07/03/2020",2,4,4,11,8,-1,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"08/03/2020",4,3,8,16,4,-1,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"09/03/2020",1,5,-1,-2,2,1,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"10/03/2020",-3,2,-1,2,3,1,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"11/03/2020",2,6,20,0,3,1,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"12/03/2020",-2,11,-3,0,3,1,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"13/03/2020",-2,11,12,-3,0,3,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"14/03/2020",-2,13,-4,-4,4,2,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"15/03/2020",-11,8,18,18,-12,NA,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"16/03/2020",-6,21,36,-8,-7,4,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"17/03/2020",-22,24,1,-24,-16,8,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"18/03/2020",-35,16,0,-40,-30,13,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"19/03/2020",-40,21,-17,-45,-35,15,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"20/03/2020",-47,5,-9,-47,-38,16,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"21/03/2020",-66,-1,-17,-49,-32,NA,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"22/03/2020",-69,-17,9,-45,-44,NA,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"23/03/2020",-60,-13,3,-56,-55,19,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"24/03/2020",-79,-33,-20,-70,-67,25,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"25/03/2020",-82,-31,-16,-73,-72,29,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"26/03/2020",-83,-32,-18,-72,-74,29,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"27/03/2020",-86,-35,-38,-74,-73,30,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"28/03/2020",-91,-44,-69,-75,-64,NA,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"29/03/2020",-91,-48,-54,-75,-66,NA,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"30/03/2020",-85,-40,-45,-76,-75,29,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"31/03/2020",-83,-37,-24,-73,-76,28,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"01/04/2020",-86,-39,-34,-77,-75,30,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"02/04/2020",-85,-37,-32,-77,-75,30,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"03/04/2020",-86,-37,-32,-75,-74,31,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"04/04/2020",-91,-44,-56,-75,-63,NA,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"05/04/2020",-90,-47,-37,-71,-64,NA,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"06/04/2020",-84,-41,-29,-76,-76,28,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"07/04/2020",-84,-38,-14,-73,-76,28,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"08/04/2020",-85,-35,-23,-74,-76,29,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"09/04/2020",-83,-26,-13,-71,-76,29,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"10/04/2020",-89,-43,-22,-78,-86,NA,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"11/04/2020",-91,-38,-54,-74,-64,NA,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"12/04/2020",-92,-65,-40,-70,-68,NA,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"13/04/2020",-88,-50,-22,-80,-87,NA,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"14/04/2020",-83,-33,-12,-73,-76,28,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"15/04/2020",-85,-37,-16,-73,-75,29,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"16/04/2020",-85,-35,-17,-72,-74,30,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"17/04/2020",-89,-45,-61,-79,-75,32,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"18/04/2020",-92,-48,-68,-75,-61,NA,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"19/04/2020",-88,-44,-22,-66,-59,NA,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"20/04/2020",-84,-41,-13,-70,-73,28,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"21/04/2020",-83,-38,-2,-69,-73,28,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"22/04/2020",-84,-39,-9,-70,-74,29,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"23/04/2020",-84,-33,2,-68,-74,29,"Local Authority"
"Bath and North East Somerset","E06000022","GB","United Kingdom",NA,"GB-BAS",NA,"24/04/2020",-86,-36,-14,-70,-73,30,"Local Authority"
