"","code","name"
"1","E06000001","Hartlepool"
"2","E06000002","Middlesbrough"
"3","E06000003","Redcar and Cleveland"
"4","E06000004","Stockton-on-Tees"
"5","E06000005","Darlington"
"6","E06000006","Halton"
"7","E06000007","Warrington"
"8","E06000008","Blackburn with Darwen"
"9","E06000009","Blackpool"
"10","E06000010","Kingston upon Hull, City of"
"11","E06000011","East Riding of Yorkshire"
"12","E06000012","North East Lincolnshire"
"13","E06000013","North Lincolnshire"
"14","E06000014","York"
"15","E06000015","Derby"
"16","E06000016","Leicester"
"17","E06000017","Rutland"
"18","E06000018","Nottingham"
"19","E06000019","Herefordshire, County of"
"20","E06000020","Telford and Wrekin"
"21","E06000021","Stoke-on-Trent"
"22","E06000022","Bath and North East Somerset"
"23","E06000023","Bristol, City of"
"24","E06000024","North Somerset"
"25","E06000025","South Gloucestershire"
"26","E06000026","Plymouth"
"27","E06000027","Torbay"
"28","E06000028","Bournemouth"
"29","E06000029","Poole"
"30","E06000030","Swindon"
"31","E06000031","Peterborough"
"32","E06000032","Luton"
"33","E06000033","Southend-on-Sea"
"34","E06000034","Thurrock"
"35","E06000035","Medway"
"36","E06000036","Bracknell Forest"
"37","E06000037","West Berkshire"
"38","E06000038","Reading"
"39","E06000039","Slough"
"40","E06000040","Windsor and Maidenhead"
"41","E06000041","Wokingham"
"42","E06000042","Milton Keynes"
"43","E06000043","Brighton and Hove"
"44","E06000044","Portsmouth"
"45","E06000045","Southampton"
"46","E06000046","Isle of Wight"
"47","E06000047","County Durham"
"48","E06000049","Cheshire East"
"49","E06000050","Cheshire West and Chester"
"50","E06000051","Shropshire"
"51","E06000052","Cornwall"
"52","E06000053","Isles of Scilly"
"53","E06000054","Wiltshire"
"54","E06000055","Bedford"
"55","E06000056","Central Bedfordshire"
"56","E06000057","Northumberland"
"57","E07000004","Aylesbury Vale"
"58","E07000005","Chiltern"
"59","E07000006","South Bucks"
"60","E07000007","Wycombe"
"61","E07000008","Cambridge"
"62","E07000009","East Cambridgeshire"
"63","E07000010","Fenland"
"64","E07000011","Huntingdonshire"
"65","E07000012","South Cambridgeshire"
"66","E07000026","Allerdale"
"67","E07000027","Barrow-in-Furness"
"68","E07000028","Carlisle"
"69","E07000029","Copeland"
"70","E07000030","Eden"
"71","E07000031","South Lakeland"
"72","E07000032","Amber Valley"
"73","E07000033","Bolsover"
"74","E07000034","Chesterfield"
"75","E07000035","Derbyshire Dales"
"76","E07000036","Erewash"
"77","E07000037","High Peak"
"78","E07000038","North East Derbyshire"
"79","E07000039","South Derbyshire"
"80","E07000040","East Devon"
"81","E07000041","Exeter"
"82","E07000042","Mid Devon"
"83","E07000043","North Devon"
"84","E07000044","South Hams"
"85","E07000045","Teignbridge"
"86","E07000046","Torridge"
"87","E07000047","West Devon"
"88","E07000048","Christchurch"
"89","E07000049","East Dorset"
"90","E07000050","North Dorset"
"91","E07000051","Purbeck"
"92","E07000052","West Dorset"
"93","E07000053","Weymouth and Portland"
"94","E07000061","Eastbourne"
"95","E07000062","Hastings"
"96","E07000063","Lewes"
"97","E07000064","Rother"
"98","E07000065","Wealden"
"99","E07000066","Basildon"
"100","E07000067","Braintree"
"101","E07000068","Brentwood"
"102","E07000069","Castle Point"
"103","E07000070","Chelmsford"
"104","E07000071","Colchester"
"105","E07000072","Epping Forest"
"106","E07000073","Harlow"
"107","E07000074","Maldon"
"108","E07000075","Rochford"
"109","E07000076","Tendring"
"110","E07000077","Uttlesford"
"111","E07000078","Cheltenham"
"112","E07000079","Cotswold"
"113","E07000080","Forest of Dean"
"114","E07000081","Gloucester"
"115","E07000082","Stroud"
"116","E07000083","Tewkesbury"
"117","E07000084","Basingstoke and Deane"
"118","E07000085","East Hampshire"
"119","E07000086","Eastleigh"
"120","E07000087","Fareham"
"121","E07000088","Gosport"
"122","E07000089","Hart"
"123","E07000090","Havant"
"124","E07000091","New Forest"
"125","E07000092","Rushmoor"
"126","E07000093","Test Valley"
"127","E07000094","Winchester"
"128","E07000095","Broxbourne"
"129","E07000096","Dacorum"
"130","E07000098","Hertsmere"
"131","E07000099","North Hertfordshire"
"132","E07000102","Three Rivers"
"133","E07000103","Watford"
"134","E07000105","Ashford"
"135","E07000106","Canterbury"
"136","E07000107","Dartford"
"137","E07000108","Dover"
"138","E07000109","Gravesham"
"139","E07000110","Maidstone"
"140","E07000111","Sevenoaks"
"141","E07000112","Shepway"
"142","E07000113","Swale"
"143","E07000114","Thanet"
"144","E07000115","Tonbridge and Malling"
"145","E07000116","Tunbridge Wells"
"146","E07000117","Burnley"
"147","E07000118","Chorley"
"148","E07000119","Fylde"
"149","E07000120","Hyndburn"
"150","E07000121","Lancaster"
"151","E07000122","Pendle"
"152","E07000123","Preston"
"153","E07000124","Ribble Valley"
"154","E07000125","Rossendale"
"155","E07000126","South Ribble"
"156","E07000127","West Lancashire"
"157","E07000128","Wyre"
"158","E07000129","Blaby"
"159","E07000130","Charnwood"
"160","E07000131","Harborough"
