date,nat_case
12/04/2021,962
11/04/2021,1640
10/04/2021,1520
09/04/2021,2075
08/04/2021,2344
07/04/2021,2462
06/04/2021,2507
05/04/2021,2142
04/04/2021,1883
03/04/2021,1962
02/04/2021,2103
01/04/2021,2862
31/03/2021,3118
30/03/2021,2940
29/03/2021,3222
28/03/2021,4254
27/03/2021,2968
26/03/2021,3630
25/03/2021,4441
24/03/2021,5106
23/03/2021,4331
22/03/2021,5138
21/03/2021,4516
20/03/2021,3363
19/03/2021,4135
18/03/2021,4522
17/03/2021,4852
16/03/2021,4741
15/03/2021,5437
14/03/2021,3582
13/03/2021,3449
12/03/2021,4610
11/03/2021,4690
10/03/2021,5001
09/03/2021,5208
08/03/2021,5561
07/03/2021,3529
06/03/2021,3698
05/03/2021,4553
04/03/2021,4790
03/03/2021,5096
02/03/2021,5680
01/03/2021,5891
28/02/2021,3954
27/02/2021,4104
26/02/2021,5665
25/02/2021,6611
24/02/2021,7290
23/02/2021,8142
22/02/2021,9852
21/02/2021,6798
20/02/2021,6888
19/02/2021,8880
18/02/2021,9902
17/02/2021,10024
16/02/2021,10816
15/02/2021,12463
14/02/2021,7529
13/02/2021,7734
12/02/2021,10562
11/02/2021,11225
10/02/2021,11839
09/02/2021,12243
08/02/2021,13839
07/02/2021,10136
06/02/2021,10582
05/02/2021,13970
04/02/2021,16152
03/02/2021,17406
02/02/2021,17657
01/02/2021,20105
31/01/2021,13707
30/01/2021,14999
29/01/2021,19680
28/01/2021,21845
27/01/2021,23239
26/01/2021,24432
25/01/2021,27103
24/01/2021,15454
23/01/2021,19877
22/01/2021,26905
21/01/2021,28762
20/01/2021,31754
19/01/2021,35970
18/01/2021,40722
17/01/2021,26206
16/01/2021,27657
15/01/2021,36787
14/01/2021,38523
13/01/2021,41152
12/01/2021,44679
11/01/2021,52009
10/01/2021,32858
09/01/2021,35445
08/01/2021,42333
07/01/2021,46831
06/01/2021,51313
05/01/2021,58039
04/01/2021,69116
03/01/2021,49516
02/01/2021,54160
01/01/2021,28220
31/12/2020,46679
30/12/2020,62894
29/12/2020,72514
28/12/2020,40038
27/12/2020,42435
26/12/2020,36701
25/12/2020,12675
24/12/2020,28703
23/12/2020,37621
22/12/2020,40903
21/12/2020,42591
20/12/2020,28940
19/12/2020,21738
18/12/2020,31828
17/12/2020,29597
16/12/2020,30122
15/12/2020,29096
14/12/2020,29516
13/12/2020,18128
12/12/2020,16027
11/12/2020,19870
10/12/2020,18547
09/12/2020,17464
08/12/2020,16673
07/12/2020,17397
06/12/2020,10873
05/12/2020,10143
04/12/2020,12884
03/12/2020,12526
02/12/2020,13462
01/12/2020,13515
30/11/2020,15031
29/11/2020,8904
28/11/2020,9208
27/11/2020,12264
26/11/2020,12281
25/11/2020,13929
24/11/2020,14027
23/11/2020,16207
22/11/2020,10037
21/11/2020,10615
20/11/2020,14679
19/11/2020,15505
18/11/2020,18217
17/11/2020,20327
16/11/2020,23730
15/11/2020,14214
14/11/2020,16034
13/11/2020,21653
12/11/2020,21948
11/11/2020,24645
10/11/2020,24466
09/11/2020,28095
08/11/2020,17964
07/11/2020,16619
06/11/2020,20823
05/11/2020,20873
04/11/2020,20692
03/11/2020,22302
02/11/2020,27923
01/11/2020,13372
31/10/2020,14347
30/10/2020,19644
29/10/2020,19969
28/10/2020,20235
27/10/2020,20487
26/10/2020,22754
25/10/2020,13167
24/10/2020,13518
23/10/2020,18107
22/10/2020,19609
21/10/2020,21484
20/10/2020,21341
19/10/2020,22102
18/10/2020,11856
17/10/2020,12352
16/10/2020,14546
15/10/2020,15242
14/10/2020,16447
13/10/2020,15439
12/10/2020,16194
11/10/2020,9651
10/10/2020,10154
09/10/2020,13014
