"","date_num","nat_case"
"52201",1,0
"52202",2,0
"52203",3,0
"52204",4,0
"52205",5,0
"52206",6,0
"52207",7,1
"52208",8,0
"52209",9,1
"52210",10,2
"52211",11,5
"52212",12,4
"52213",13,7
"52214",14,11
"52215",15,5
"52216",16,20
"52217",17,38
"52218",18,53
"52219",19,49
"52220",20,46
"52221",21,73
"52222",22,55
"52223",23,50
"52224",24,125
"52225",25,227
"52226",26,353
"52227",27,414
"52228",28,392
"52229",29,315
"52230",30,396
"52231",31,545
"52232",32,682
"52233",33,908
"52234",34,925
"52235",35,1089
"52236",36,1028
"52237",37,1206
"52238",38,2014
"52239",39,2026
"52240",40,2256
"52241",41,2610
"52242",42,2651
"52243",43,2366
"52244",44,2438
"52245",45,3515
"52246",46,3785
"52247",47,4119
"52248",48,4066
"52249",49,4084
"52250",50,3377
"52251",51,3077
"52252",52,4371
"52253",53,4565
"52254",54,4290
"52255",55,4061
"52256",56,3577
"52257",57,3058
"52258",58,2939
"52259",59,3430
"52260",60,3535
"52261",61,4215
"52262",62,4349
"52263",63,4066
"52264",64,4106
"52265",65,3471
"52266",66,3680
"52267",67,3978
"52268",68,4798
"52269",69,4554
"52270",70,4350
"52271",71,3374
"52272",72,3134
"52273",73,4024
"52274",74,4114
"52275",75,4728
"52276",76,4308
"52277",77,4084
"52278",78,2741
"52279",79,2632
"52280",80,2842
"52281",81,3139
"52282",82,3261
"52283",83,3203
"52284",84,2618
"52285",85,1793
"52286",86,2002
"52287",87,3061
"52288",88,2918
"52289",89,2884
"52290",90,2209
"52291",91,2131
"52292",92,1768
"52293",93,1587
"52294",94,2205
"52295",95,2583
"52296",96,2343
"52297",97,2267
"52298",98,1791
"52299",99,1302
"52300",100,1199
"52301",101,1376
"52302",102,1452
"52303",103,1609
"52304",104,1570
"52305",105,1373
"52306",106,997
"52307",107,987
"52308",108,1315
"52309",109,1348
"52310",110,1239
"52311",111,1144
"52312",112,1023
"52313",113,724
"52314",114,665
"52315",115,992
"52316",116,1053
"52317",117,1078
"52318",118,912
"52319",119,942
"52320",120,791
"52321",121,743
"52322",122,938
"52323",123,993
"52324",124,911
"52325",125,943
"52326",126,820
"52327",127,628
"52328",128,550
"52329",129,815
"52330",130,729
"52331",131,728
"52332",132,635
"52333",133,643
"52334",134,504
"52335",135,410
"52336",136,666
"52337",137,573
"52338",138,616
"52339",139,563
"52340",140,541
"52341",141,386
"52342",142,540
"52343",143,657
"52344",144,559
"52345",145,672
"52346",146,683
"52347",147,519
"52348",148,420
"52349",149,354
"52350",150,691
"52351",151,650
"52352",152,725
"52353",153,641
"52354",154,548
"52355",155,467
"52356",156,413
"52357",157,753
"52358",158,690
"52359",159,748
"52360",160,731
"52361",161,718
"52362",162,493
"52363",163,515
"52364",164,807
"52365",165,779
"52366",166,972
"52367",167,858
"52368",168,626
"52369",169,494
"52370",170,513
"52371",171,938
"52372",172,920
"52373",173,941
"52374",174,980
"52375",175,866
"52376",176,635
"52377",177,555
"52378",178,1350
"52379",179,1211
"52380",180,1095
"52381",181,1020
"52382",182,1039
"52383",183,642
"52384",184,530
"52385",185,1136
"52386",186,925
"52387",187,1074
"52388",188,1219
"52389",189,1006
"52390",190,716
"52391",191,697
"52392",192,1132
"52393",193,1060
"52394",194,1138
"52395",195,1324
"52396",196,1383
"52397",197,1041
"52398",198,976
"52399",199,1261
"52400",200,1928
"52401",201,2615
"52402",202,2665
"52403",203,2590
"52404",204,2190
"52405",205,2058
"52406",206,3461
"52407",207,3000
"52408",208,2851
"52409",209,3100
"52410",210,2856
"52411",211,2207
"52412",212,1708
"52413",213,2899
"52414",214,3038
"52415",215,3742
"52416",216,3940
"52417",217,4274
"52418",218,4175
"52419",219,4626
"52420",220,4700
"52421",221,5358
"52422",222,5888
"52423",223,6291
"52424",224,6035
"52425",225,5650
"52426",226,6024
"52427",227,8578
"52428",228,8721
"52429",229,10521
"52430",230,11301
"52431",231,11576
"52432",232,9700
"52433",233,9835
"52434",234,14036
"52435",235,14296
"52436",236,15195
"52437",237,15268
"52438",238,13014
"52439",239,10154
"52440",240,9651
"52441",241,16194
"52442",242,15439
"52443",243,16447
"52444",244,15242
"52445",245,14546
"52446",246,12352
"52447",247,11856
"52448",248,22102
"52449",249,21341
"52450",250,21484
"52451",251,19609
"52452",252,18107
"52453",253,13518
"52454",254,13167
"52455",255,22754
"52456",256,20487
"52457",257,20235
"52458",258,19969
"52459",259,19644
"52460",260,14347
"52461",261,13372
"52462",262,27923
"52463",263,22302
"52464",264,20692
"52465",265,20873
"52466",266,20823
"52467",267,16619
"52468",268,17964
"52469",269,28095
"52470",270,24466
"52471",271,24645
"52472",272,21948
"52473",273,21653
"52474",274,16034
"52475",275,14214
"52476",276,23730
"52477",277,20327
"52478",278,18217
"52479",279,15505
"52480",280,14679
"52481",281,10615
"52482",282,10037
"52483",283,16207
"52484",284,14027
"52485",285,13929
"52486",286,12281
"52487",287,12264
"52488",288,9208
"52489",289,8904
"52490",290,15031
